hindi,hinglish
यह ज़बरदस्त पत्नी और वह ज़बरदस्त दादा है।,Yeh zabardast patni aur woh zabardast dada hai
मैं उठती है,main uthti hai
वह विंडो चाहिए,Woh window chahiye
वह जलता पति होगा।,Woh jalta pati hoga.
वह अमीर लड़की होगा।,Woh amir ladki hoga.
यह सबसे अच्छा नानी और वह सबसे अच्छा चाचा है।,Yeh sabse accha nani aur woh sabse accha chacha hai
यह वीपीएन सबसे बुरा है।,Yeh VPN sabse bura hai
यह ऊंचा घरवाले है।,Yeh ooncha gharwale hai
यह सबसे अच्छा चाचा और वह सबसे अच्छा ताऊ है।,Yeh sabse accha chacha aur woh sabse accha tau hai
वह पी रहे हैं,vah pi rahe hain
यह सब्सक्राइब शानदार है।,Yeh subscribe shaandaar hai
यह सिक्योरिटी पतला है।,Yeh security patla hai
यह शानदार भाई और वह शानदार दादी है।,Yeh shaandaar bhai aur woh shaandaar dadi hai
मुझे एक सबसे बुरा फोन चाहिए।,mujhe ek sabse bura phone chahiye.
आप हँसते हैं,aap hanste hain
मुझे एक चौड़ा चैट चाहिए।,mujhe ek chaura chat chahiye.
हमारा बच्ची कहाँ है?,hamara bachchi kahan hai?
यह नेटवर्क चौड़ा है।,Yeh network chaura hai
मुझे एक बढ़िया स्ट्रीमिंग चाहिए।,mujhe ek badhiya streaming chahiye.
मेरा लो रही है,mera lo rahi hai
वह उलझन में पापा होगा।,Woh confused papa hoga.
वह लंबा आदमी था।,Woh lamba aadmi tha.
यह होशियार ताई है।,Yeh hoshiyar tai hai
तुमने किया,tumne kiya
वह गुलाबी दुश्मन होगा।,Woh gulabi dushman hoga.
ये बैठेगा,ye baithega
बड़े मेज़,bade mez
मुझे एक ज़बरदस्त ट्रैकिंग चाहिए।,mujhe ek zabardast tracking chahiye.
यह डिस्काउंट पतला है।,Yeh discount patla hai
वह मेहनती चाचा था।,Woh mehnati chacha tha.
पापा पी लीजिए,papa pi lijiye
मेरे पास बहुत सारे पेंसिल है।,Mere paas bahut sare pencil hai.
यह ज़बरदस्त बहन और वह ज़बरदस्त चाचा है।,Yeh zabardast behen aur woh zabardast chacha hai
पिता आया,pita aaya
यह बढ़िया ताई और वह बढ़िया घरवाले है।,Yeh badhiya tai aur woh badhiya gharwale hai
मैं लिया है,main liya hai
मेरे पास एक सब्ज़ी है।,Mere paas ek sabzi hai.
वे सुनूँगी,ve sunungi
आप दिया रही है,aap diya rahi hai
मुझे एक बुरा डाउनलोड चाहिए।,mujhe ek bura download chahiye.
वह लंबा दादा होगा।,Woh lamba dada hoga.
बुरे पलंग,bure palang
यह प्रसन्न दादा है।,Yeh prasanna dada hai
यह लाइव सबसे अच्छा है।,Yeh live sabse accha hai
यह कमाल का ताई और वह कमाल का नानी है।,Yeh kamaal ka tai aur woh kamaal ka nani hai
मुझे एक ज़बरदस्त प्राइवेसी चाहिए।,mujhe ek zabardast privacy chahiye.
यह फोन बेकार है।,Yeh phone bekar hai
वह गहरा औरत था।,Woh gahra aurat tha.
वक़्त देो,waqt deo
कब से आप कर रहा है,kab se aap kar raha hai
यह शानदार चाची और वह शानदार परिवार है।,Yeh shaandaar chachi aur woh shaandaar parivar hai
मेरे पास एक हेडफोन है।,Mere paas ek headphone hai.
वह मूर्ख यार था।,Woh murkh yaar tha.
वह नारंगी ताऊ होगा।,Woh narangi tau hoga.
यह ज़बरदस्त ससुर और वह ज़बरदस्त ताई है।,Yeh zabardast sasur aur woh zabardast tai hai
यह सब्सक्राइब बेकार है।,Yeh subscribe bekar hai
यह स्कूल जा रहा है।,Yeh school ja raha hai.
यह बुरा ताई और वह बुरा पत्नी है।,Yeh bura tai aur woh bura patni hai
यह धांसू चाचा और वह धांसू नानी है।,Yeh dhansu chacha aur woh dhansu nani hai
यह क्यूआर कोड बड़ा है।,Yeh QR code bada hai
वह सुंदर भाई होगा।,Woh sundar bhai hoga.
मुझे एक चौड़ा एपिसोड चाहिए।,mujhe ek chaura episode chahiye.
वह कमाल का सास था।,Woh kamaal ka saas tha.
यह धांसू घरवाले और वह धांसू परिवार है।,Yeh dhansu gharwale aur woh dhansu parivar hai
इसे काम चाहिए,ise kaam chahiye
मेरे पास बहुत सारे मौत है।,Mere paas bahut sare maut hai.
यह धांसू माँ और वह धांसू दादी है।,Yeh dhansu maa aur woh dhansu dadi hai
यह चौड़ा बच्चा है।,Yeh chaura bachcha hai
वह मज़ाकिया ताऊ होगा।,Woh mazakiya tau hoga.
यह जलता दादा है।,Yeh jalta dada hai
मैं दौड़ रहे हैं,main daud rahe hain
मैं रोती है,main roti hai
यह बढ़िया बहन और वह बढ़िया पति है।,Yeh badhiya behen aur woh badhiya pati hai
उसके पानी है,uske paani hai
मेरे पास कई पेंसिल है।,Mere paas kai pencil hai.
मैं दिए रही है,main diye rahi hai
मुझे एक बढ़िया ईमेल चाहिए।,mujhe ek badhiya email chahiye.
यह बुरा बेटी और वह बुरा दादा है।,Yeh bura beti aur woh bura dada hai
धीमा देश है,dheema desh hai
यह कॉल खराब है।,Yeh call kharab hai
मुझे एक ज़बरदस्त शो चाहिए।,mujhe ek zabardast show chahiye.
मैं सुन रहा हूँ,main sun raha hoon
मुझे एक ख़ास क्लाउड चाहिए।,mujhe ek khaas cloud chahiye.
मैं बहुत ज़्यादा है,main bahut zyada hai
वह कीमती माँ होगा।,Woh qimati maa hoga.
इसे यह दरवाज़ा चाहिए,ise yah darwaza chahiye
वह नया आदमी था।,Woh naya aadmi tha.
यह केस अच्छा है।,Yeh case accha hai
वह लाल ससुर था।,Woh laal sasur tha.
मेरे पास कई स्कूटर है।,Mere paas kai scooter hai.
यह खराब पापा और वह खराब ताऊ है।,Yeh kharab papa aur woh kharab tau hai
यह मोटा पापा है।,Yeh mota papa hai
मुझे एक पोस्ट पसंद है,Mujhe ek post pasand hai
